,mood,arousal,valence,activity,screen,communication,office,social,travel,weather,gsm,amusement,system
27,8.2,0.6,0.8,0.029657567049808407,0.06363921296817283,0.015562685185185185,0.0,0.034330891203703716,0.0,0.0,0.0,0.014261793981481483,0.0012166087962962961
28,7.0,0.2,0.6,0.07823937267214573,0.08268826388650471,0.03442311342592594,0.0,0.026414930555555556,0.0016558912037037035,0.0,0.09090909090909091,0.02823439814814817,0.0004178472222222222
29,6.6,-0.4,0.6,0.1444977991196478,0.17452872683604556,0.08796886574074077,0.0005088657407407407,0.01692931712962963,0.0026730324074074074,0.0,0.6363636363636364,0.04725245370370372,0.018980081018518512
30,7.0,0.0,0.8,0.13372735533587954,0.11291449073564128,0.06375013888888886,0.0011906828703703704,0.029500115740740747,0.002220636574074074,0.000307662037037037,0.36363636363636365,0.026487071759259257,0.00411767361111111
31,7.75,-0.25,0.75,0.23571051267413404,0.0831785300843142,0.04632340277777778,4.648148148148148e-05,0.01109125,0.0024082060185185183,0.0001749652777777778,0.7272727272727273,0.012405960648148149,0.012358645833333334
32,6.4,-1.0,0.4,0.2649999999999999,0.0946645254614177,0.035832523148148145,0.0006907291666666666,0.0370780324074074,0.002955949074074074,0.0,0.2727272727272727,0.020621238425925927,0.009359814814814814
33,7.5,0.0,1.0,0.20659722222222232,0.0739414699210061,0.031958043981481485,0.001578171296296296,0.008245706018518522,0.01069480324074074,0.0,1.0,0.012638020833333331,0.00804143518518519
34,7.2,-0.6,1.0,0.059715839460784285,0.01979554398744195,0.00612292824074074,0.0,0.008198472222222225,0.0019287037037037035,0.0,0.0,0.004101759259259259,0.0
35,6.75,-0.25,0.5,0.17232443482443485,0.07575287037977466,0.048116516203703705,0.0003643865740740741,0.0182159375,0.0,0.0,0.0,0.012897233796296292,0.0005817476851851854
36,7.25,0.0,1.0,0.1751971158833905,0.09872976852787861,0.048891041666666656,5.092592592592593e-07,0.051436064814814816,0.0,0.0,0.18181818181818182,0.02409217592592591,0.016480081018518517
37,6.8,-0.6,0.6,0.10888427751577054,0.09996939813925158,0.04365648148148147,0.0010667476851851851,0.01857672453703703,0.0007382754629629629,0.0,0.09090909090909091,0.02782494212962965,0.00912975694444444
38,8.0,0.0,1.0,0.32672684458398754,0.03793222222339224,0.013251041666666668,0.00012771990740740742,0.013965138888888888,0.0032019791666666668,0.0,0.18181818181818182,0.019404062499999992,0.003363599537037036
39,7.2,-0.75,1.0,0.18526365348399249,0.07916565970138272,0.029539780092592595,0.0,0.031146319444444456,0.003048298611111111,8.21875e-05,0.36363636363636365,0.004486550925925925,0.01060165509259259
40,6.25,-0.75,0.0,0.22025871459694987,0.01674333333141275,0.01151744212962963,0.0014318402777777778,0.005724386574074074,0.0,0.0,0.0,0.002717233796296296,4.6400462962962965e-05
41,7.6,-0.8,0.75,0.16709055715309384,0.04494503471586441,0.01820575231481481,0.0,0.01655990740740741,4.6469907407407404e-05,0.0,0.0,0.0031539699074074074,0.004236400462962963
42,7.0,-0.6666666666666666,0.6666666666666666,0.08203703703703702,0.061534988424844214,0.028445937500000008,0.0,0.023178842592592595,0.0006535185185185186,0.0,0.0,0.008598773148148142,0.0002803703703703704
