,mood,arousal,valence,activity,screen,communication,office,social,travel,weather,gsm,amusement,system
0,7.0,-1.0,0.0,0.04343189964157704,0.02903072916247228,0.012737430555555554,0.0,0.00338306712962963,0.0,0.0,0.2727272727272727,0.012423344907407407,0.000503414351851852
1,7.0,-0.2,0.6,0.1377085877085877,0.0894649305636132,0.04549649305555557,0.0032053009259259265,0.010124212962962967,0.0,0.0,0.0,0.034721863425925925,0.0013528587962962962
2,8.0,0.5,1.5,0.13556265296587808,0.09134873843855325,0.03743634259259261,0.00041310185185185184,0.0363848726851852,0.006529814814814813,0.0,0.18181818181818182,0.022580520833333347,0.0024596296296296298
3,7.0,0.25,0.25,0.13232860520094558,0.09452728009886212,0.046826851851851856,0.0,0.012517800925925925,0.0,0.0,0.09090909090909091,0.02839420138888889,0.006061296296296294
4,7.6,-0.2,0.8,0.17147079420003294,0.0801925694666527,0.04152998842592592,0.0004891550925925928,0.03954980324074074,0.000926099537037037,0.0,0.09090909090909091,0.023101805555555563,0.0004897106481481482
5,7.8,0.0,1.0,0.11158088235294117,0.045221423608837324,0.02177642361111112,0.0,0.014554664351851857,0.0,0.0,0.0,0.009103645833333326,0.00037512731481481484
6,7.8,0.0,0.8,0.2112978524743232,0.10339954859956543,0.006363958333333332,0.0,0.02398256944444445,0.0,5.623842592592592e-05,0.45454545454545453,0.05143774305555557,0.02169749999999999
7,7.0,-0.2,0.4,0.16060545689131744,0.08685557870953171,0.0238552662037037,0.0003185416666666666,0.03124878472222222,0.0,0.0,0.09090909090909091,0.02796680555555555,0.02334716435185185
8,7.75,0.0,0.75,0.2258536234024724,0.0968850694403604,0.046698159722222216,0.0,0.02574211805555556,0.0,0.0,0.2727272727272727,0.01901012731481481,0.01564217592592592
9,6.8,-0.6,0.4,0.16255252100840334,0.10629055556599741,0.0513391435185185,0.0019328703703703704,0.032936423611111126,0.0002560416666666667,0.0,0.36363636363636365,0.016417789351851852,0.00691730324074074
10,7.2,0.0,0.4,0.2095738980962975,0.08253434028062553,0.045091145833333346,0.0,0.021708773148148154,0.0019388310185185183,0.0,0.18181818181818182,0.015343483796296303,0.005893981481481482
11,7.0,-0.4,0.2,0.1495238095238096,0.10816739583456958,0.04143609953703704,0.0,0.03429421296296296,0.006365300925925926,0.0,0.0,0.03476136574074075,0.009952303240740739
12,7.0,-0.4,0.8,0.29227390180878554,0.04742578703772145,0.01614945601851852,0.0,0.03052488425925927,0.0013851851851851853,0.0,0.18181818181818182,0.006475277777777776,0.006222499999999998
