mood,arousal,valence,activity,screen,communication,social,travel,gsm,amusement,system
7.0,0.0,1.0,0.3713608957795003,0.07809307872697162,0.021659953703703706,0.007667013888888891,0.0,0.2,0.008378738425925927,0.004674386574074074
7.0,-0.4,1.0,0.21799615246001347,0.419028993072333,0.09636237268518523,0.3114512384259258,0.0,0.2,0.013482534722222219,0.012618958333333331
5.8,-0.2,-0.2,0.3554132307808778,0.13012762732803826,0.0426989814814815,0.01471019675925926,0.0004523726851851852,0.0,0.01309060185185185,0.03125586805555553
6.2,-0.4,0.6,0.27495405128584044,0.24862753471290616,0.06661211805555553,0.0,0.00208787037037037,0.0,0.1535345601851852,0.02528489583333333
7.0,-0.25,1.25,0.40504885492795534,0.13187427080339856,0.08063243055555558,0.0016859837962962957,0.000255625,0.4,0.030617650462962966,0.008109803240740737
7.0,0.75,1.25,0.3562184343434343,0.10559276619995087,0.04320018518518517,0.00017479166666666668,0.00048796296296296294,0.0,0.06583300925925925,0.011632164351851852
7.0,0.6,1.2,0.4054120879120879,0.06402993053473806,0.05054271990740739,0.0,6.968749999999999e-05,0.0,0.013835798611111115,0.0027503009259259264
7.25,0.25,1.5,0.3971758776890901,0.12257835648126074,0.05763427083333337,0.0011247222222222223,0.0006495023148148148,0.0,0.048141099537037046,0.01874384259259259
7.0,0.0,1.2,0.4181943516042781,0.0888279629526315,0.03369106481481481,0.006049814814814817,0.0,0.2,0.03413591435185185,0.009615844907407406
7.5,-0.25,1.5,0.383014657192235,0.1841851388745837,0.1035927893518518,0.003216689814814815,0.0003955902777777778,0.2,0.05041195601851853,0.02725111111111111
7.5,0.0,2.0,0.5112974987974988,0.10652130785915584,0.07091768518518524,0.002328819444444445,0.004161296296296297,0.0,0.00975465277777778,0.013111817129629628
7.0,0.5,1.0,0.4693480702055397,0.13083564815145954,0.05728631944444443,0.0003995138888888889,0.013946319444444447,0.8,0.04092305555555555,0.01744225694444445
7.0,0.5,1.0,0.3605606998977928,0.16828593751346627,0.07070375000000004,0.0005858680555555555,0.0017735763888888888,0.2,0.06966587962962963,0.024300081018518518
7.0,1.0,1.0,0.5438427062553628,0.13834543980934003,0.10118943287037037,0.00032541666666666667,0.0006396064814814814,0.4,0.020483194444444446,0.015182789351851855
6.5,0.75,1.0,0.3916318101453476,0.07535253471522421,0.05990717592592591,0.0,0.0,0.2,0.008346805555555555,0.005713379629629629
7.0,0.0,0.6,0.3032808556039441,0.15516565975767596,0.09338399305555553,0.002312662037037037,0.0008306597222222224,1.0,0.046865162037037035,0.010541851851851849
5.75,-0.25,0.25,0.38230822634774103,0.11887247684929106,0.0617403009259259,0.002987164351851852,0.00773037037037037,0.6,0.032382534722222224,0.016005613425925925
6.6,0.2,0.6,0.2301178804855276,0.16528166666350977,0.0541222800925926,0.008918599537037036,0.0014808680555555556,0.0,0.009632638888888885,0.012342407407407403
7.2,-0.4,1.2,0.3817342913496761,0.10640775464199209,0.0854903703703704,0.0010302430555555553,0.0,0.0,0.014942037037037037,0.003774606481481481
7.0,0.0,0.8,0.28412621329988913,0.2565845138938338,0.06605886574074074,0.007738726851851854,0.0,0.2,0.1568478819444445,0.019136273148148156
7.0,0.4,1.0,0.34538736402324105,0.1342528703670811,0.10658560185185184,0.0002820254629629629,0.009462905092592594,0.8,0.00838652777777778,0.00962287037037037
7.75,-0.25,1.0,0.3283472785449071,0.07657282406809147,0.03787459490740742,0.001653530092592592,0.0015798611111111115,0.0,0.026710393518518526,0.002430613425925926
7.2,0.6,1.0,0.3625992063492064,0.08823909718681267,0.04685685185185185,0.0001253125,0.0,0.2,0.03184559027777777,0.005951875
