mood,arousal,valence,activity,screen,communication,finance,office,social,travel,gsm,amusement,system
6.2,0.2,0.2,0.13405010398938866,0.20808920138963938,0.07269548611111114,0.0005734259259259259,0.0019931250000000005,0.05218171296296297,0.010595428240740744,0.5454545454545454,0.011660370370370371,0.04326356481481483
6.4,0.6,0.5,0.2368802192399581,0.07108982638352444,0.057441180555555575,0.0002439351851851852,0.0,0.005088333333333331,0.0004317708333333333,0.36363636363636365,0.001080138888888889,0.009826967592592595
6.8,0.2,0.8,0.14274111580506368,0.07840083335008884,0.06061711805555554,0.0005023495370370372,0.0,0.010426377314814814,0.0,0.0,0.0010919675925925927,0.015235324074074075
6.0,0.8,0.0,0.07896105611559798,0.1741591550989283,0.10729894675925927,0.0003947453703703704,3.483796296296296e-05,0.0373104861111111,0.004858854166666667,0.9090909090909091,0.011307534722222222,0.012102870370370366
6.75,0.5,0.5,0.09837411239050677,0.2485573495262198,0.1189438773148148,0.0004983101851851851,0.0,0.022216099537037036,0.0,0.09090909090909091,0.0007894212962962963,0.014533113425925928
6.6,-0.2,0.6,0.10130832167007592,0.19009028935598002,0.10403649305555557,0.0006056828703703704,0.0,0.0531488310185185,0.0,0.0,0.010537951388888888,0.013898865740740736
7.0,0.2,0.8,0.1595106409690975,0.20187673610393644,0.08028370370370373,0.0004886458333333332,0.0021117013888888887,0.010826168981481485,0.0005476157407407407,0.2727272727272727,0.0073997569444444414,0.016300416666666664
6.4,-0.6,0.6,0.09569802163712016,0.05698482638431921,0.01003278935185185,0.001032013888888889,0.0,0.005934502314814814,0.01311353009259259,0.45454545454545453,0.014333784722222223,0.11995731481481485
8.0,0.2,1.0,0.06820281010186964,0.09632664351551623,0.03148949074074074,0.0,0.0,0.005473240740740741,0.0006068865740740741,0.45454545454545453,0.01883598379629629,0.029551701388888893
7.5,-0.5,0.75,0.049092970521542004,0.05235201389977231,0.015028993055555558,0.0,0.0,0.0019407986111111112,0.0,0.0,0.017774039351851855,0.005239131944444445
7.4,0.0,0.6,0.07050548088338955,0.13700039352255836,0.06172033564814815,0.00047748842592592596,0.0,0.015632581018518513,0.0021224652777777782,0.5454545454545454,0.020950185185185186,0.03670960648148149
6.0,0.2,0.0,0.118443242712736,0.19877206020885044,0.07055006944444447,0.006340578703703704,0.0010693055555555555,0.058334108796296316,0.018687743055555556,0.09090909090909091,0.014645578703703702,0.022027233796296303
