,mood,arousal,valence,activity,screen,communication,finance,office,social,travel,gsm,amusement,system
0,6.666666666666668,0.0,0.6666666666666666,0.234817017504906,0.15419011573272717,0.012550648148148146,0.0006732523148148148,0.0,0.003344942129629631,0.0,0.05555555555555555,0.0019238425925925927,0.01881158564814815
1,6.6,0.6,1.0,0.19950165661345784,0.1547892708303752,0.010258101851851848,0.00022076388888888891,0.0,0.0008827893518518518,0.0,0.16666666666666666,0.0014646643518518518,0.006538888888888889
2,6.8,0.4,0.4,0.13380405046845265,0.02963030092970086,0.0015495254629629628,0.0,0.0,0.002474803240740741,0.0,0.1111111111111111,0.0020464120370370367,0.009303981481481479
3,7.4,0.8,0.6,0.2432023587309073,0.06684293981779499,0.008242557870370367,2.354166666666667e-05,0.003831226851851853,0.0,0.0005932175925925928,0.2777777777777778,0.0024499768518518516,0.0185095949074074
4,6.6,0.0,0.2,0.16746382304680313,0.08851249999470177,0.009751469907407403,0.0006255208333333334,0.0,0.0001972337962962963,0.0,0.1111111111111111,0.0016870254629629629,0.022739236111111116
5,6.6,0.2,0.2,0.14697043087965836,0.06410212963543559,0.009655011574074075,0.00041848379629629625,0.0,0.0006971064814814815,0.0,0.16666666666666666,0.0005114467592592591,0.010187314814814814
6,7.0,0.6,0.6,0.1430965546015584,0.03741559026417909,0.010844560185185186,0.0007448148148148149,0.0002831944444444445,0.0035743749999999994,0.0,0.05555555555555555,0.0033242592592592594,0.017793587962962962
7,7.0,0.2,0.6,0.2196603781442613,0.04629343749196441,0.02702988425925926,0.00031359953703703704,0.00014243055555555556,0.0026585763888888887,0.0,0.05555555555555555,0.002750717592592593,0.014880208333333323
8,7.2,0.4,0.6,0.20133600688258,0.1548281365577821,0.05286722222222219,0.0,0.0008279398148148146,0.003527581018518519,0.0,0.2777777777777778,0.0018407870370370366,0.030363530092592593
9,7.8,0.6,1.2,0.2724467417320533,0.1591711458205073,0.06333887731481481,0.001834907407407407,0.002215196759259259,0.003720208333333333,0.0,0.6666666666666666,0.0018693865740740739,0.08588521990740743
10,7.0,0.6,0.8,0.22101963704498265,0.0949430439814374,0.01750695601851852,0.0003733217592592593,0.00025542824074074075,0.0002441782407407407,0.0,0.2777777777777778,0.0,0.008036134259259258
11,6.8,-0.6,1.0,0.3745078870731222,0.09580755787315193,0.004446134259259259,0.0,0.00016569444444444444,0.00034896990740740743,0.0,0.3333333333333333,0.005405497685185187,0.020625578703703715
12,6.2,-0.8,0.0,0.12203956005680147,0.08276568286120893,0.01981495370370371,6.965277777777777e-05,0.00013111111111111111,0.005795162037037037,0.0,0.1111111111111111,0.002255532407407407,0.01915752314814815
13,7.0,0.0,0.75,0.1627045190848325,0.026783391195866806,0.013233263888888895,0.0005708564814814814,0.0,0.0,0.0,0.05555555555555555,0.00034670138888888885,0.008731423611111112
14,6.75,0.0,0.5,0.156894295258828,0.05393439814724304,0.02518865740740741,0.0018152662037037037,0.0009664004629629629,0.0005116319444444444,0.0,0.16666666666666666,0.0011378819444444444,0.02217666666666666
15,7.0,0.6,1.0,0.17579131226414704,0.0415160416563352,0.023452384259259267,0.0008011458333333333,0.00019740740740740735,0.000892488425925926,0.0,0.05555555555555555,0.0032166782407407404,0.012114479166666667
16,6.8,0.2,0.8,0.08391203703703702,0.12273155091813322,0.03846171296296295,0.0,0.0,0.0026060879629629633,0.0,0.2222222222222222,0.022789571759259258,0.22662925925925934
17,7.8,0.8,1.2,0.4626559157521546,0.027200740746877807,0.01663670138888889,0.0,0.0,9.291666666666666e-05,0.0,0.2222222222222222,0.00028157407407407417,0.012913888888888895
18,8.0,1.2,1.6,0.4026460998855776,0.06572618056226663,0.03415715277777777,0.0,0.0010475578703703704,0.0016903356481481487,0.0016546296296296298,0.0,0.0013642708333333332,0.026156099537037045
19,6.4,0.2,0.4,0.12294231059851525,0.10381070602547239,0.030516261574074076,0.0008601504629629628,0.003075555555555555,0.0021663310185185184,0.0,0.16666666666666666,0.00939386574074074,0.05459938657407412
20,7.0,0.0,1.0,0.14306033075740893,0.11156015045664933,0.027201840277777778,0.0,9.384259259259258e-05,0.00388363425925926,0.0,0.2222222222222222,0.0032346412037037027,0.02764023148148147
21,7.0,0.8,1.0,0.14131944444444447,0.07605971065660316,0.03631368055555554,0.002851736111111111,0.005320659722222224,0.00042932870370370374,0.0,0.05555555555555555,0.000634837962962963,0.038237083333333345
22,6.5,0.25,0.75,0.14166666666666666,0.06597815972511417,0.03708858796296297,0.0003715509259259259,4.638888888888889e-05,0.0002321412037037037,0.002207152777777778,0.05555555555555555,0.0018490277777777778,0.023178923611111107
23,7.0,1.0,1.0,0.2280129928315412,0.0925566550951313,0.03752032407407406,0.0,0.0,0.0007899421296296297,0.0023449305555555554,0.6111111111111112,0.007262118055555557,0.056557245370370345
24,7.0,0.3333333333333333,1.0,0.4806468133230302,0.10873601853571556,0.041970092592592594,0.000987650462962963,4.649305555555555e-05,0.0012157638888888888,0.0021195138888888887,1.0,0.0006548032407407407,0.050275983796296254
25,7.4,1.0,1.2,0.08819444444444445,0.047735092587493116,0.017632037037037036,0.0,0.0003035185185185185,0.002941446759259259,0.0,0.1111111111111111,0.005653194444444446,0.021149050925925922
26,6.8,0.8,0.8,0.12152777777777775,0.06204120368593268,0.02027105324074074,0.0012195023148148148,0.0009977777777777776,0.0002943865740740741,0.0,0.1111111111111111,0.004993402777777778,0.02121998842592592
27,7.0,0.3333333333333333,1.0,0.11588613406795227,0.04988458333743942,0.02447946759259258,0.001435798611111111,0.00022067129629629637,0.0022520370370370368,0.0,0.3333333333333333,0.004133171296296296,0.016589490740740735
28,7.0,0.4,0.8,0.13729645593869724,0.07654605324345612,0.016123252314814818,0.0,0.0019994212962962964,0.001574537037037037,0.0005472453703703704,0.05555555555555555,0.002305960648148148,0.0436862962962963
29,7.0,0.8,1.0,0.044723573773501946,0.0471957291662693,0.01947392361111111,0.0004529050925925926,0.0002238541666666667,0.0001809027777777778,0.0,0.16666666666666666,0.0022183680555555555,0.0230129050925926
30,7.0,1.0,1.0,0.227085562427016,0.1622822916673289,0.02869111111111112,0.0003018518518518518,0.00041902777777777777,0.008725381944444445,0.0010471643518518519,0.1111111111111111,0.0018295601851851847,0.02595574074074074
