mood,arousal,valence,activity,screen,communication,social,travel,weather,gsm,amusement,system
7.4,-0.4,0.6,0.07881944444444446,0.03783186342153285,0.010659756944444446,0.01254763888888889,0.0,0.0,0.1111111111111111,0.0038544444444444446,0.008904027777777776
7.0,1.0,0.2,0.13924288801542115,0.03089197916841065,0.008473645833333333,0.009587222222222223,0.0012322569444444445,0.0,0.4444444444444444,0.004881087962962963,0.02036059027777777
7.4,-0.2,0.6,0.05138888888888888,0.06814751154846616,0.02690939814814814,0.026890648148148157,0.0,0.0,0.1111111111111111,0.0024335185185185185,0.020991203703703696
7.0,-1.0,0.2,0.08090277777777778,0.04700034721582022,0.024018425925925926,0.011623842592592592,0.0013434027777777778,0.00029483796296296295,0.2777777777777778,0.0015787499999999999,0.011208634259259262
7.6,1.0,0.8,0.08437499999999998,0.04940726850319799,0.030907939814814826,0.007604131944444446,0.000675462962962963,0.0,0.0,0.001403125,0.00799695601851852
7.6,-0.6,0.8,0.0711805555555556,0.03468086805056642,0.0138084375,0.008752060185185186,0.0020911574074074075,0.0,0.0,0.0029619444444444446,0.01254028935185186
7.0,0.4,0.8,0.11215277777777778,0.058598923619698616,0.032732245370370366,0.010671168981481481,0.002169108796296296,0.0,0.0,0.001116099537037037,0.00895376157407407
7.4,-0.2,0.4,0.125,0.04530730323659048,0.022335173611111113,0.008913217592592596,0.0013932986111111112,0.0,0.2222222222222222,0.0025436689814814814,0.012712465277777772
5.8,0.4,-0.6,0.0857638888888889,0.03177027779044928,0.00824681712962963,0.013735185185185185,0.0,0.0,0.05555555555555555,0.0013294097222222223,0.007912696759259256
7.0,0.25,0.5,0.07713122605363984,0.043106956026620374,0.01868403935185186,0.014537002314814815,0.0,0.0,0.2222222222222222,0.0017235648148148147,0.029496446759259252
8.75,0.5,1.5,0.13717672413793106,0.026104155097294742,0.008696655092592596,0.008824976851851855,0.0,0.0,0.16666666666666666,0.00034770833333333333,0.007361921296296297
7.6,-0.8,0.8,0.0809027777777778,0.013569872669047777,0.005758530092592592,0.0004546064814814814,0.0,0.00033966435185185185,0.0,0.0008096180555555556,0.005468958333333332
7.2,-0.6,0.6,0.09026916896235077,0.05074787036964186,0.024392118055555564,0.012612835648148149,0.0034052662037037033,0.0,0.0,0.0016401273148148147,0.008637268518518515
7.8,-1.4,1.0,0.1181810224089636,0.07740565973299521,0.03057289351851851,0.00983255787037037,0.023770289351851853,0.0,0.0,0.00130875,0.01072980324074074
7.6,0.2,0.8,0.10105333800186746,0.06434118054531235,0.015353946759259253,0.010970138888888889,0.030599432870370365,0.0,0.1111111111111111,0.0012991435185185187,0.023358159722222223
8.6,0.0,1.4,0.1159722222222222,0.03042996527972045,0.011644097222222222,0.006460231481481483,0.0024015856481481484,0.0,0.3333333333333333,0.0004196875,0.00885969907407407
7.5,-0.25,0.5,0.054989495798319334,0.04444122683394838,0.03525420138888889,0.017650671296296303,0.0,0.0,0.0,0.0031906828703703706,0.005819236111111111
7.2,-0.4,0.6,0.18090277777777786,0.06113343751264944,0.028966631944444456,0.013007314814814815,0.0,0.0,0.16666666666666666,0.002427662037037037,0.3831082523148148
