mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,amusement,system
5.0,-0.25,-0.5,0.0017596021459431203,0.03667611111093452,8.197916666666664e-05,0.0,0.026215613425925925,2.5034722222222224e-05,0.15384615384615385,0.00650980324074074,0.0033553125000000002
6.6,-0.8,0.4,0.07781417175139173,0.14621711805738788,0.021905810185185184,0.0,0.06970086805555559,0.004158796296296297,0.5384615384615384,0.015914652777777778,0.02841408564814814
4.8,0.2,-0.2,0.015451676238389368,0.1404668865794384,0.00789431712962963,0.0,0.08743368055555555,9.259259259259259e-07,0.15384615384615385,0.009442858796296293,0.014686875000000002
7.6,-0.4,1.0,0.09496808411522163,0.19772822916783672,0.010044768518518522,0.0,0.030051365740740743,0.0004570833333333333,0.38461538461538464,0.00698804398148148,0.026242141203703703
6.0,0.0,0.4,0.011163426997135432,0.06176335648806007,0.005839687499999999,0.0,0.048089629629629635,4.6608796296296295e-05,0.0,0.004139317129629629,0.003008020833333332
6.0,-0.75,0.5,0.0240174121696935,0.17965128472557773,0.012336631944444447,0.0,0.04673109953703704,0.0,0.07692307692307693,0.005495787037037037,0.013848750000000005
5.0,0.5,0.0,0.13996388028895773,0.2176061111026339,0.05024041666666664,0.0,0.03834807870370372,7.100694444444445e-05,0.07692307692307693,0.01426045138888889,0.0293392824074074
6.833333333333332,-0.3333333333333333,0.4,0.0039855072463768106,0.048022905088685154,0.0018620601851851853,0.0,0.04345800925925926,0.0,0.0,0.012657569444444442,0.0031131944444444445
6.0,0.0,0.5,0.12253135428946202,0.18383317127547877,0.04020177083333333,0.0,0.08218785879629634,0.0026355092592592593,0.6923076923076923,0.00856998842592593,0.03837413194444446
7.0,0.4,1.0,0.051781347045554434,0.06237915509552866,0.006262500000000001,0.0,0.03187484953703704,0.0,0.8461538461538461,0.00764804398148148,0.025946782407407408
6.0,0.25,0.3333333333333333,0.016673567202696287,0.11285706018132197,0.004960034722222222,0.0,0.04428887731481482,0.0,0.23076923076923078,0.005123495370370371,0.011784050925925922
6.0,-0.6,0.2,0.01773234767380921,0.21145500000428272,0.023871481481481483,0.0,0.1002147337962963,0.0,0.0,0.008787037037037034,0.03198905092592594
6.2,-0.2,0.2,0.009146799328914148,0.058482800929082764,0.004216319444444444,0.0,0.037623946759259265,0.0,0.0,0.003714513888888889,0.00278462962962963
6.25,-0.5,0.5,0.018382148211167643,0.0915125694539811,0.010040405092592594,0.0,0.0664415162037037,0.0,0.0,0.007596435185185186,0.005640266203703704
6.0,-0.6666666666666666,-0.2,0.017180909720209924,0.11308706018383852,0.021005925925925928,0.0,0.07051795138888889,0.0,0.0,0.012344930555555557,0.007658321759259258
5.75,0.5,0.25,0.011538005032521469,0.05126327547210233,0.01472472222222222,0.0,0.022364421296296302,0.0,0.46153846153846156,0.0031304976851851854,0.008780185185185183
5.833333333333332,-0.8333333333333334,0.0,0.020586616773057436,0.0791645717538066,0.009485613425925922,0.0,0.07455200231481483,0.0,0.15384615384615385,0.011923518518518519,0.011350069444444447
6.4,-0.75,0.25,0.01428609951201229,0.1258693171320138,0.026202685185185193,0.0,0.06599906250000002,0.0,0.0,0.013078877314814816,0.010971377314814816
6.25,-0.75,0.3333333333333333,0.16147019196659632,0.08498246526828519,0.01814055555555555,0.0,0.03320221064814814,0.0,0.23076923076923078,0.0022478703703703706,0.03222964120370374
5.4,-0.4,0.0,0.11520148444226025,0.21904152776907992,0.014300196759259259,0.001510763888888889,0.06297759259259259,0.0,1.0,0.007971863425925924,0.012138182870370369
6.2,-0.6,0.4,0.012704237112874092,0.047336562507682374,0.024055590277777775,0.0,0.023268101851851852,0.0,0.23076923076923078,0.0014432175925925927,0.009057453703703706
8.2,0.0,1.2,0.10330116965301572,0.16575078701531445,0.022412210648148148,0.004142465277777778,0.06205105324074072,0.0,0.8461538461538461,0.00711465277777778,0.029880925925925922
7.0,-1.3333333333333333,1.0,0.16935445444293906,0.04131181713331629,0.0050359375000000005,0.0,0.020716689814814816,1.0868055555555556e-05,0.46153846153846156,0.0015826157407407408,0.004667048611111111
6.8,-0.8,-0.4,0.19290118906100084,0.10992646989447097,0.019338449074074074,0.0,0.036648252314814826,0.012183425925925926,0.3076923076923077,0.0030118055555555558,0.03792656250000001
