,mood,arousal,valence,activity,screen,communication,social,gsm,amusement,system
0,7.5,1.0,0.5,0.007716049382716044,0.018117071762681014,0.004663599537037037,3.487268518518518e-05,0.0,0.0,0.00034572916666666666
1,7.6,0.8,0.8,0.043209876543209874,0.008001979167262701,0.0076112384259259275,0.0,0.14285714285714285,0.0005585069444444445,0.000537175925925926
2,6.8,-0.2,0.4,0.03333333333333333,0.027696157401358678,0.008871493055555554,0.002642152777777778,0.14285714285714285,0.007046215277777778,0.0013415277777777776
3,6.0,-0.75,-0.5,0.0789351851851852,0.030763206021101403,0.002806319444444445,0.006054247685185185,0.0,0.0070525462962962955,0.011124386574074075
4,6.8,0.4,0.4,0.025762156714537646,0.008661076387873405,0.0009349768518518521,0.004020428240740741,0.0,0.0042902893518518516,0.0029731249999999996
5,7.0,0.25,0.75,0.057000000000000016,0.014626400467974171,0.0013316435185185185,0.002901342592592593,0.0,0.007744131944444444,0.0026471064814814816
6,6.25,0.5,0.0,0.023809523809523808,0.005330462960733311,0.0015433912037037035,0.0,0.0,0.0,0.004730868055555557
7,7.4,1.0,1.0,0.13813915857605175,0.008806064813225356,0.0002445601851851853,0.0,0.5714285714285714,0.0057280439814814815,0.001414849537037037
8,7.5,1.0,1.0,0.3802083333333333,0.009660590282744835,0.005140405092592592,0.0037900694444444444,0.2857142857142857,0.0,0.00025731481481481493
9,7.0,0.8,0.8,0.0125,0.0002397453674563654,0.00023968750000000005,0.0,0.5714285714285714,0.0,0.0
10,6.25,0.0,0.0,0.0,0.00034296296260975,0.0,0.0,0.5714285714285714,0.01103292824074074,0.00044375
11,6.5,0.0,0.25,0.06712962962962966,0.026351018525936007,0.008283194444444444,0.009135381944444444,0.0,0.0017220138888888884,0.0059113773148148155
12,6.666666666666668,0.3333333333333333,0.3333333333333333,0.05502297410192149,0.0006325578689575198,0.0,0.0,0.14285714285714285,0.0,0.0005006712962962964
13,7.0,0.75,0.5,0.01574074074074075,0.02391026619131918,0.008817361111111107,0.004213344907407408,0.0,0.006328738425925926,0.0031924652777777784
14,7.0,0.4,0.8,0.09056023599628253,0.009346944446916932,0.0010939930555555555,0.0,0.2857142857142857,0.005209050925925926,0.0012587268518518518
15,7.0,0.6,0.8,0.060227140822464775,0.04541979166092695,0.00987010416666667,0.0050623842592592595,0.5714285714285714,0.0050031828703703705,0.0026738194444444444
16,6.8,0.6,1.0,0.029011707988980725,0.0033588194460780533,0.010218888888888885,0.006652314814814815,0.14285714285714285,0.007037673611111112,0.0008557291666666663
17,7.25,0.5,0.75,0.0033670033670033677,0.006967187499006591,0.0,4.6574074074074076e-05,0.2857142857142857,0.006154131944444444,0.0007664814814814814
18,7.75,0.25,1.0,0.069361289395536,0.017739537035425502,0.003046643518518519,0.0116621875,0.5714285714285714,0.0028802199074074073,0.00279957175925926
19,7.0,0.5,0.5,0.021836419753086426,0.014044062497991113,0.0076608680555555544,0.0038253819444444455,0.14285714285714285,0.0014350462962962962,0.0010042939814814814
20,7.5,0.5,0.75,0.05509259259259256,0.001958159721559948,0.0008373263888888889,0.0,0.2857142857142857,0.0,0.0006412268518518519
21,6.8,0.0,0.6,0.04598055910316445,0.0457419560187393,0.02787170138888888,0.0012177314814814815,1.0,0.004680277777777777,0.0037806249999999997
22,6.8,0.0,0.6,0.0,5.806712916603796e-05,0.0,0.0,0.0,0.006593460648148148,0.0001441087962962963
23,6.8,0.0,0.2,0.005,0.0,0.0,0.0,0.2857142857142857,0.0,0.0
24,6.8,0.0,0.6,0.10694444444444448,0.008098749998542999,0.004877106481481482,0.0015687615740740744,0.0,0.0002793634259259259,0.0012064120370370369
25,7.2,0.4,0.6,0.0046296296296296354,0.00013076389001475438,0.0,0.0,0.14285714285714285,0.0,0.0
26,6.4,-0.4,0.4,0.014580010632642209,0.019727974536794205,0.005511331018518518,0.0037015856481481483,0.14285714285714285,0.006509826388888889,0.0035494328703703695
27,6.75,0.0,0.5,0.006430041152263367,0.0010827199038532043,0.0,0.00016936342592592591,0.0,0.0,0.0009124189814814815
28,7.5,0.0,1.0,0.0362707535121329,0.03297399306738818,0.027133182870370372,0.00040947916666666666,0.0,0.002273726851851852,0.0008530671296296296
29,7.6,-0.4,0.6,0.17375000000000002,0.008780405093674306,0.003271018518518518,0.0001545486111111111,0.14285714285714285,0.0,0.0035693981481481484
30,7.4,0.2,0.8,0.06042250233426701,0.00832914352968887,0.003951701388888889,0.012433576388888892,0.14285714285714285,0.00017109953703703704,0.0019510069444444444
