predict_day,user,window,true_mood,mood,arousal,valence,activity,screen,communication,finance,office,social,travel,gsm,amusement,system
2014-03-28,AS14.12,2014-03-27-2014-03-27,6.75,7.0,-0.5,1.0,0.14829053656064528,0.07020498843104755,0.010771400462962962,0.0,0.0,0.05085178240740742,0.0,0.18181818181818185,0.0024003125,0.008573703703703703
2014-03-29,AS14.12,2014-03-28-2014-03-28,6.75,6.75,0.0,0.75,0.11218869731800768,0.12127334490970333,0.029404756944444436,0.0,0.0,0.041312187499999986,0.0,0.8181818181818182,0.04469377314814815,0.056357129629629674
2014-03-30,AS14.12,2014-03-29-2014-03-29,5.8,6.75,1.0,1.0,0.12607506942792832,0.11523835647437305,0.015255416666666669,0.0,0.0,0.013506990740740741,0.0011703472222222221,0.4545454545454545,0.011586331018518522,0.07586671296296299
2014-03-31,AS14.12,2014-03-30-2014-03-30,6.4,5.8,-0.2,0.25,0.0500026692883376,0.03570782408118248,0.009151712962962966,0.0,0.0,0.010584710648148149,0.0,0.09090909090909093,0.00548255787037037,0.009497685185185182
2014-04-01,AS14.12,2014-03-31-2014-03-31,6.4,6.4,0.4,0.4,0.07254649006645172,0.04450957176034099,0.007334571759259258,0.00012777777777777776,0.00019894675925925923,0.010875821759259259,0.008939803240740741,0.09090909090909093,0.004892141203703703,0.011042071759259258
2014-04-02,AS14.12,2014-04-01-2014-04-01,6.0,6.4,0.4,0.75,0.14079215484201238,0.10292371526912407,0.03389848379629632,0.0006409490740740743,0.0,0.03765552083333335,0.0007879513888888888,0.18181818181818185,0.008739097222222221,0.01544430555555555
2014-04-03,AS14.12,2014-04-02-2014-04-02,5.4,6.0,-0.4,0.3333333333333333,0.14706022748475056,0.1529565740790631,0.0268503125,0.0014872453703703705,0.004600717592592593,0.029946435185185194,0.00029756944444444443,0.2727272727272727,0.008785821759259255,0.00974145833333333
2014-04-04,AS14.12,2014-04-03-2014-04-03,6.5,5.4,0.4,0.0,0.1573412698412698,0.11647502316920845,0.03195341435185184,0.0015465277777777775,0.009815127314814813,0.048763854166666655,0.004326226851851853,0.2727272727272727,0.013828773148148144,0.02761710648148152
2014-04-05,AS14.12,2014-04-04-2014-04-04,6.2,6.5,0.75,0.6666666666666666,0.13877989048726838,0.08572111109616581,0.014409189814814812,0.0,0.006077974537037035,0.026989560185185186,0.019549965277777786,1.0,0.004160486111111111,0.014338344907407416
2014-04-06,AS14.12,2014-04-05-2014-04-05,6.25,6.2,0.0,0.4,0.15029831343020306,0.05632775463991696,0.002458796296296296,0.00045846064814814816,0.0,0.024158078703703702,0.0024778240740740733,0.3636363636363637,0.016850520833333334,0.01867106481481481
2014-04-07,AS14.12,2014-04-06-2014-04-06,6.4,6.25,0.25,0.75,0.08721111947339888,0.032616076392156086,0.0019210763888888886,0.0,0.0,0.012289803240740743,0.004008611111111112,0.0,0.007364872685185181,0.006569675925925926
2014-04-08,AS14.12,2014-04-07-2014-04-07,6.25,6.4,0.2,1.0,0.12565511935667534,0.0694265856511063,0.007574583333333334,0.0005715162037037036,5.828703703703705e-05,0.03151650462962964,0.002877141203703704,0.0,0.0102584375,0.018997025462962967
2014-04-09,AS14.12,2014-04-08-2014-04-08,5.25,6.25,0.0,0.25,0.11765497159315708,0.09254098380053484,0.01609479166666667,0.002269918981481481,0.0011444675925925928,0.03895422453703703,0.001358148148148148,0.18181818181818185,0.01681444444444444,0.0355433101851852
2014-04-10,AS14.12,2014-04-09-2014-04-09,6.4,5.25,0.0,-0.5,0.16551672904404247,0.1278378009078679,0.020472731481481474,0.00044118055555555555,0.0020827199074074073,0.045958090277777794,0.0007623726851851853,0.0,0.029137349537037036,0.35343997685185163
2014-04-11,AS14.12,2014-04-10-2014-04-10,6.6,6.4,0.2,0.6,0.1338207834315732,0.0900753935150526,0.006337395833333331,0.0,0.0,0.05741329861111112,0.0,0.0,0.005131597222222222,0.024473726851851854
2014-04-20,AS14.12,2014-04-19-2014-04-19,6.4,5.8,0.4,0.4,0.16716522568030542,0.08424788195777823,0.01645951388888889,0.0,0.0,0.028502534722222226,0.0010766898148148148,0.5454545454545454,0.009977025462962962,0.3813110648148145
2014-04-21,AS14.12,2014-04-20-2014-04-20,6.0,6.4,0.4,1.0,0.2202672654948737,0.17444528934856265,0.008617800925925926,0.0,0.0009545138888888886,0.053233414351851874,0.0049836226851851856,0.0,0.021687974537037042,0.04512425925925924
2014-04-22,AS14.12,2014-04-21-2014-04-21,6.5,6.0,-0.25,0.75,0.0702309086923999,0.048869432864917635,0.012030798611111108,0.0,0.0,0.021762627314814813,0.0009635532407407404,0.09090909090909093,0.0019927777777777773,0.014422372685185187
2014-04-23,AS14.12,2014-04-22-2014-04-22,5.8,6.5,0.25,1.0,0.16462706487320147,0.2123444213000714,0.0367682175925926,0.0004068634259259261,0.0,0.060287303240740726,0.015825509259259254,0.18181818181818185,0.06676978009259261,0.029188356481481475
2014-04-24,AS14.12,2014-04-23-2014-04-23,6.6,5.8,0.0,0.8,0.11449388733473975,0.06506093749017625,0.006321307870370372,0.0,0.000511423611111111,0.03624458333333334,0.0029687731481481475,0.5454545454545454,0.007255659722222221,0.014664178240740724
2014-04-25,AS14.12,2014-04-24-2014-04-24,5.6,6.6,-0.6,0.6,0.08522280013775357,0.0802616434985841,0.003348171296296296,0.0012653819444444446,0.0018997453703703702,0.04316057870370369,0.007637210648148148,0.09090909090909093,0.008632974537037038,0.03623900462962962
