,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2014-03-26,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-03-31,2014-04-01,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03
1,0.037668418884277521,0.012171936035156428,0.03337593078613299,-0.39551753997802752,0.69917011260986328,0.083805084228515625,0.23020591735839879,-0.40543174743652344,0.039755058288574396,0.033775520324707209,0.036075782775879084,-0.15712261199951172,-0.16608905792236328,0.019472312927246271,-0.21142578125,-0.18588829040527344,-0.17740249633789062,0.040342521667480646,0.22887744903564489,-0.57701816558837926,0.06878662109375,0.015526962280273615,0.01467628479003924,0.75495243072509766,0.00065631866455095889,-0.44961452484130859,-0.15518379211425781,-0.16083431243896484,0.83602523803710938,-0.19083499908447266,0.064837455749511719
2,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,,,,,,,,,,,,,,,,,,,,,,,
3,0.2371978759765625,0.018160057067871271,-0.19325923919677734,-0.052683830261230469,0.001079559326171875,-0.16439437866210938,-0.15774154663085938,-0.21614646911621094,,,,,,,,,,,,,,,,,,,,,,,
