,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05
1,0.24079799652099609,-0.15515842437744176,-0.352160549163818,-0.2531275749206543,0.6474131584167484,1.4910879135131836,-0.26029300689697266,-0.75183629989624023,-0.49343776702880859,0.25364494323730469,0.642132663726807,0.44311017990112322,-0.75853586196899414,-0.54660539627075178,0.25152254104614258,-0.25692558288574219,-0.35281381607055629,0.44964427947998065,-0.090659936269123165
2,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,,,,,,,,,,,,,,
3,0.44982213973999041,-0.25782966613769531,-0.50278186798095703,0.75244426727294922,0.043783473968505682,,,,,,,,,,,,,,
