predict_day,user,window,true_mood,mood,arousal,valence,activity,screen,communication,finance,social,travel,gsm,amusement,system
2014-03-25,AS14.14,2014-03-24-2014-03-24,5.75,6.5,-1.0,0.25,0.08183477959828253,0.1452131828748518,0.08040210648148148,0.010051493055555551,0.011002511574074074,0.0024308912037037038,0.0,0.005382939814814815,0.039225902777777766
2014-03-26,AS14.14,2014-03-25-2014-03-25,7.0,5.75,-0.25,0.0,0.0869440958385846,0.15225805554676936,0.06445697916666668,0.0043693981481481466,0.013572847222222227,0.01700836805555555,0.2222222222222222,0.0,0.05803936342592591
2014-03-27,AS14.14,2014-03-26-2014-03-26,6.6,7.0,-0.2,1.0,0.13618336177266896,0.12482251157363256,0.05386731481481482,7e-05,0.012217743055555551,0.0012058912037037036,0.2222222222222222,0.005990798611111113,0.03513747685185184
2014-03-28,AS14.14,2014-03-27-2014-03-27,6.2,6.6,-1.0,0.8,0.08024686578120244,0.14527951391482793,0.1106749189814815,0.0018007407407407406,0.018794953703703703,1.1666666666666666e-05,0.1111111111111111,0.002839247685185185,0.022159548611111104
2014-03-29,AS14.14,2014-03-28-2014-03-28,8.0,6.2,-0.4,0.6,0.0696839987353426,0.13600417822599412,0.08268457175925926,0.0025852430555555555,0.013765717592592592,0.0,0.1111111111111111,0.0018741666666666663,0.07582990740740743
2014-03-30,AS14.14,2014-03-29-2014-03-29,6.5,8.0,-0.25,1.25,0.16564287093948113,0.05410428238687695,0.0214510300925926,0.0017946874999999996,0.00950741898148148,0.0,0.2222222222222222,0.00013252314814814813,0.03646370370370372
2014-03-31,AS14.14,2014-03-30-2014-03-30,6.75,6.5,-1.0,1.0,0.009551822310687784,0.030859583340309294,0.006021331018518515,0.0,0.0,0.0,0.1111111111111111,0.0,0.304562337962963
2014-04-01,AS14.14,2014-03-31-2014-03-31,6.2,6.75,-0.25,0.75,0.046555175742613406,0.03579876157144705,0.01205846064814815,0.0,0.0,0.0,0.6666666666666666,0.0,0.03958203703703704
2014-04-02,AS14.14,2014-04-01-2014-04-01,7.0,6.2,0.0,0.4,0.052005566719441405,0.004987083331302361,0.001100925925925926,0.0,0.0003755324074074074,0.0,0.0,0.0,0.003035335648148148
2014-04-03,AS14.14,2014-04-02-2014-04-02,7.333333333333332,7.0,-1.0,1.0,0.06348750312481978,0.009026307861010234,0.0018606828703703704,0.0,0.0008302314814814816,0.0,0.0,0.0,0.017938067129629625
2014-04-04,AS14.14,2014-04-03-2014-04-03,7.5,7.333333333333332,-0.5,1.0,0.06938709391802697,0.02746133101207241,0.004328680555555557,9.327546296296296e-05,0.0005391435185185187,0.0,0.0,0.0,0.01867283564814814
2014-04-09,AS14.14,2014-04-08-2014-04-08,8.0,6.8,-0.2,0.8,0.039592086834733885,0.0052414004559870105,0.0007810416666666666,0.0,0.0,0.0,0.1111111111111111,0.0,0.4667115393518518
2014-04-10,AS14.14,2014-04-09-2014-04-09,6.666666666666668,8.0,0.3333333333333333,1.0,0.11708683473389354,0.012712291672273923,0.001927962962962964,0.0,0.00015108796296296298,0.0,0.0,0.0,0.010177488425925923
2014-04-11,AS14.14,2014-04-10-2014-04-10,7.75,6.666666666666668,-0.3333333333333333,1.0,0.0520108043217287,0.00979723379015922,0.0002185416666666667,0.0,0.0003391087962962963,0.0,0.0,0.0,0.01020304398148148
2014-04-12,AS14.14,2014-04-11-2014-04-11,7.5,7.75,1.0,1.0,0.026137955182072826,0.0063997916684106594,0.0002221875,0.0,0.0007687731481481481,0.0,0.2222222222222222,0.0,0.06802201388888889
