predict_day,user,window,true_mood,mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,amusement,system
2014-05-12,AS14.33,2014-05-11-2014-05-11,6.0,6.0,0.0,0.4,0.011163426997135432,0.06176335648806008,0.005839687499999999,0.0,0.048089629629629635,4.6608796296296295e-05,0.0,0.004139317129629629,0.003008020833333332
2014-05-13,AS14.33,2014-05-12-2014-05-12,5.0,6.0,-0.75,0.5,0.0240174121696935,0.17965128472557773,0.012336631944444449,0.0,0.04673109953703704,0.0,0.07692307692307693,0.005495787037037037,0.013848750000000005
2014-05-14,AS14.33,2014-05-13-2014-05-13,6.833333333333332,5.0,0.5,0.0,0.13996388028895773,0.2176061111026339,0.050240416666666635,0.0,0.03834807870370372,7.100694444444445e-05,0.07692307692307693,0.01426045138888889,0.0293392824074074
2014-05-15,AS14.33,2014-05-14-2014-05-14,6.0,6.833333333333332,-0.3333333333333333,0.4,0.0039855072463768106,0.04802290508868515,0.0018620601851851847,0.0,0.04345800925925927,0.0,0.0,0.012657569444444442,0.0031131944444444445
2014-05-16,AS14.33,2014-05-15-2014-05-15,7.0,6.0,0.0,0.5,0.12253135428946202,0.1838331712754788,0.04020177083333333,0.0,0.08218785879629634,0.0026355092592592593,0.6923076923076923,0.00856998842592593,0.03837413194444447
2014-05-17,AS14.33,2014-05-16-2014-05-16,6.0,7.0,0.4,1.0,0.051781347045554434,0.06237915509552866,0.006262500000000001,0.0,0.03187484953703704,0.0,0.8461538461538461,0.00764804398148148,0.025946782407407408
2014-05-18,AS14.33,2014-05-17-2014-05-17,6.0,6.0,0.25,0.3333333333333333,0.016673567202696287,0.11285706018132195,0.004960034722222222,0.0,0.04428887731481482,0.0,0.2307692307692308,0.005123495370370371,0.011784050925925922
2014-05-19,AS14.33,2014-05-18-2014-05-18,6.2,6.0,-0.6,0.2,0.01773234767380921,0.21145500000428272,0.023871481481481483,0.0,0.1002147337962963,0.0,0.0,0.008787037037037034,0.03198905092592594
2014-05-20,AS14.33,2014-05-19-2014-05-19,6.25,6.2,-0.2,0.2,0.009146799328914148,0.058482800929082764,0.0042163194444444435,0.0,0.03762394675925927,0.0,0.0,0.003714513888888889,0.00278462962962963
2014-05-21,AS14.33,2014-05-20-2014-05-20,6.0,6.25,-0.5,0.5,0.018382148211167643,0.0915125694539811,0.010040405092592594,0.0,0.0664415162037037,0.0,0.0,0.007596435185185186,0.005640266203703704
2014-05-22,AS14.33,2014-05-21-2014-05-21,5.75,6.0,-0.6666666666666666,-0.2,0.017180909720209924,0.11308706018383853,0.021005925925925928,0.0,0.07051795138888889,0.0,0.0,0.012344930555555557,0.007658321759259258
2014-05-27,AS14.33,2014-05-26-2014-05-26,6.2,5.4,-0.4,0.0,0.11520148444226025,0.21904152776907992,0.014300196759259259,0.001510763888888889,0.06297759259259259,0.0,1.0,0.007971863425925924,0.012138182870370369
2014-05-28,AS14.33,2014-05-27-2014-05-27,8.2,6.2,-0.6,0.4,0.012704237112874092,0.04733656250768237,0.024055590277777768,0.0,0.023268101851851845,0.0,0.2307692307692308,0.0014432175925925927,0.009057453703703706
2014-05-29,AS14.33,2014-05-28-2014-05-28,7.0,8.2,0.0,1.2,0.10330116965301572,0.16575078701531445,0.022412210648148148,0.004142465277777778,0.06205105324074073,0.0,0.8461538461538461,0.00711465277777778,0.02988092592592592
2014-05-30,AS14.33,2014-05-29-2014-05-29,6.8,7.0,-1.3333333333333333,1.0,0.16935445444293906,0.04131181713331629,0.0050359375000000005,0.0,0.020716689814814816,1.0868055555555556e-05,0.4615384615384616,0.0015826157407407408,0.0046670486111111105
