predict_day,user,window,true_mood,mood,arousal,valence,activity,screen,communication,office,social,gsm,amusement,system
2014-03-18,AS14.08,2014-03-17-2014-03-17,6.4,5.4,0.0,0.2,0.00555555555555555,0.016420011575575225,0.06670157407407408,0.0,0.08071682870370371,0.0,0.0,0.0006549074074074075
2014-03-19,AS14.08,2014-03-18-2014-03-18,7.0,6.4,-0.2,0.6,0.028491361781937875,0.015256597217586303,0.00829740740740741,0.0,0.0046694097222222215,0.0,0.001652662037037037,6.851851851851852e-05
2014-03-20,AS14.08,2014-03-19-2014-03-19,6.4,7.0,-0.2,1.0,0.0630171632209882,0.02115115739681102,0.011709606481481479,0.0,0.0075837615740740735,0.07692307692307693,0.00030637731481481477,0.0007874189814814813
2014-03-21,AS14.08,2014-03-20-2014-03-20,6.6,6.4,-0.2,0.8,0.05752387767589225,0.012691550919855086,0.0032342592592592588,0.0,0.0077468287037037046,0.07692307692307693,0.0,0.05628334490740742
2014-03-22,AS14.08,2014-03-21-2014-03-21,6.4,6.6,-0.4,0.6,0.008942302364652674,0.033077835644836774,0.028673842592592595,0.0,0.012559988425925922,0.3076923076923077,0.0,0.0030576388888888893
2014-03-23,AS14.08,2014-03-22-2014-03-22,7.2,6.4,-0.4,0.8,0.02223145445234952,0.010030023152077636,0.050104421296296296,0.0,0.0052402430555555535,0.0,0.0,0.0003082407407407408
2014-03-24,AS14.08,2014-03-23-2014-03-23,6.8,7.2,-0.2,0.8,0.04218482538831056,0.015909502318611855,0.004309224537037037,0.0,0.01866822916666666,0.15384615384615385,0.0,0.0019519675925925926
2014-03-25,AS14.08,2014-03-24-2014-03-24,7.2,6.8,-0.8,1.0,0.046307912762661635,0.02277769675685301,0.002246006944444445,0.0,0.019678379629629632,0.0,0.0,0.00029502314814814815
2014-03-26,AS14.08,2014-03-25-2014-03-25,6.5,7.2,-0.6,1.0,0.01689766184251478,0.008406053240652439,0.017013379629629632,0.0,0.005107997685185185,0.07692307692307693,0.0010314814814814817,0.0008518981481481483
2014-03-27,AS14.08,2014-03-26-2014-03-26,6.333333333333332,6.5,-0.25,0.5,0.08950139311864186,0.021046886584825,0.010358923611111114,0.0018692013888888888,0.004787893518518519,0.38461538461538464,0.001300914351851852,0.0039568865740740745
2014-03-28,AS14.08,2014-03-27-2014-03-27,6.25,6.333333333333332,0.0,0.5,0.08701150136063529,0.028741689818324867,0.02287949074074075,0.0,0.02482652777777778,0.4615384615384616,0.0,0.0017619791666666671
2014-03-29,AS14.08,2014-03-28-2014-03-28,7.166666666666668,6.25,-0.25,0.5,0.016559762046113646,0.022415023150819318,0.0111025,0.0,0.008175937500000003,1.0,0.0,0.0096575
2014-03-30,AS14.08,2014-03-29-2014-03-29,6.8,7.166666666666668,-0.16666666666666666,1.0,0.02494412062743703,0.013794317137863887,0.006205648148148147,0.0,0.005156261574074074,0.15384615384615385,0.0007510300925925925,0.0005416087962962963
2014-03-31,AS14.08,2014-03-30-2014-03-30,7.6,6.8,0.0,0.6,0.0784470781932718,0.009026539339511482,0.0025337384259259267,0.0,0.005862905092592593,0.0,0.0,0.00011488425925925922
2014-04-01,AS14.08,2014-03-31-2014-03-31,7.2,7.6,0.0,1.2,0.07893465181771635,0.019334965273737903,0.014239849537037037,0.0,0.00529423611111111,0.0,0.00023361111111111109,0.0001977199074074074
2014-04-02,AS14.08,2014-04-01-2014-04-01,6.6,7.2,-1.0,1.0,0.06235385458531235,0.02400947917390754,0.018791550925925923,0.0,0.01127681712962963,0.0,0.0010660300925925926,0.00036122685185185183
2014-04-03,AS14.08,2014-04-02-2014-04-02,7.0,6.6,-0.4,0.8,0.008289547359385427,0.008064930563171705,0.020947245370370363,0.0,0.002409560185185185,0.0,0.0002216898148148148,0.0006251157407407408
2014-04-04,AS14.08,2014-04-03-2014-04-03,7.5,7.0,0.0,1.3333333333333333,0.07876788563729692,0.03284280091248178,0.0273716550925926,0.0,0.008783055555555556,0.0,0.0,0.0010074537037037038
2014-04-05,AS14.08,2014-04-04-2014-04-04,7.4,7.5,0.25,1.25,0.03112397258727364,0.01464708334317915,0.009993888888888887,0.0,0.0190214699074074,0.15384615384615385,0.0,0.0020528009259259267
2014-04-06,AS14.08,2014-04-05-2014-04-05,7.6,7.4,0.2,1.2,0.12841414141414145,0.020086203703173888,0.011016331018518516,0.0,0.007332418981481484,0.0,0.0008901388888888889,0.0002974189814814815
2014-04-07,AS14.08,2014-04-06-2014-04-06,7.0,7.6,0.0,1.25,0.007280235288804587,0.015000092596919456,0.0038421527777777772,0.0,0.0061668634259259255,0.0,0.00012768518518518521,0.0009277777777777776
2014-04-08,AS14.08,2014-04-07-2014-04-07,6.5,7.0,0.0,1.0,0.1024731337951504,0.051412662019332235,0.027537824074074086,0.0,0.014450069444444453,0.5384615384615384,0.004263842592592593,0.004230347222222221
2014-04-09,AS14.08,2014-04-08-2014-04-08,6.25,6.5,-0.25,0.5,0.058148292227969176,0.029681562510905424,0.01819761574074074,0.0,0.012487615740740742,0.0,0.0010783217592592591,0.0011465393518518515
2014-04-10,AS14.08,2014-04-09-2014-04-09,7.6,6.25,0.25,0.5,0.04036626596543954,0.027828703707566963,0.02048775462962964,0.0,0.023041215277777784,0.0,0.0,0.0013736111111111113
2014-04-11,AS14.08,2014-04-10-2014-04-10,7.6,7.6,1.2,1.4,0.20657326274273785,0.05047170138745395,0.036594247685185176,0.0,0.010153622685185187,0.0,0.0026704398148148147,0.0015959375
2014-04-12,AS14.08,2014-04-11-2014-04-11,7.0,7.6,0.6,1.0,0.0741355491619204,0.01830927084165591,0.005240138888888888,0.0,0.011462048611111109,0.07692307692307693,0.00037207175925925917,0.0006360416666666666
2014-04-13,AS14.08,2014-04-12-2014-04-12,7.6,7.0,0.0,0.8,0.025027439155129103,0.00887810185275696,0.022133761574074075,0.0,0.0060123032407407425,0.0,0.0,0.0
2014-04-14,AS14.08,2014-04-13-2014-04-13,6.6,7.6,0.0,1.2,0.0048270957916190715,0.024062037040238026,0.007620405092592595,0.0,0.0332664351851852,0.0,0.002564386574074074,0.00015266203703703706
2014-04-15,AS14.08,2014-04-14-2014-04-14,6.4,6.6,0.2,0.6,0.06490308655585146,0.039653657418158336,0.02235798611111111,0.0005236226851851851,0.01298238425925926,0.0,0.0009406597222222225,0.0013936226851851852
