predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,finance,social,gsm,amusement,system
2014-03-23,AS14.16,2014-03-19-2014-03-22,7.0,0,1,6.341666666666667,0.5416666666666666,0.6708333333333334,0.04419917641443695,0.005439820600742542,0.001190847800925926,0.0,0.0006091261574074074,0.17105263157894735,0.0003795225694444445,0.0015832754629629628
2014-03-24,AS14.16,2014-03-20-2014-03-23,6.4,1,0,6.491666666666667,0.5416666666666666,0.7708333333333333,0.05990534524560577,0.007465274883779108,0.0017825578703703705,3.775173611111111e-05,0.0011626967592592594,0.2894736842105263,0.0008538425925925926,0.0019918315972222225
2014-03-25,AS14.16,2014-03-21-2014-03-24,6.0,1,0,6.675000000000001,0.375,0.8875,0.07577400788009071,0.007598943866927313,0.002144435763888889,5.5205439814814814e-05,0.001196767939814815,0.21052631578947367,0.0008094328703703703,0.0014829571759259264
2014-03-26,AS14.16,2014-03-22-2014-03-25,5.6,1,0,6.475,0.275,0.7875,0.08242547546057244,0.009706605903942275,0.002842445023148148,5.5205439814814814e-05,0.001300384837962963,0.19736842105263158,0.0009413483796296295,0.001937291666666667
2014-03-27,AS14.16,2014-03-23-2014-03-26,6.0,1,0,6.25,0.2,0.6625,0.08838912231754881,0.013671079284201068,0.0031175549768518523,0.00024269675925925926,0.0018964901620370375,0.14473684210526316,0.0008451186342592592,0.001901689814814815
2014-03-28,AS14.16,2014-03-24-2014-03-27,6.5,0,1,6.0,0.2,0.475,0.1450508689945394,0.01618165798692241,0.0025258449074074076,0.00020494502314814816,0.0013429195601851855,0.23684210526315788,0.00999265625,0.001601183449074074
2014-03-29,AS14.16,2014-03-25-2014-03-28,6.0,0,1,6.025,0.012500000000000011,0.4625,0.14008989554469664,0.016355601851311005,0.0030329311342592595,0.00018749131944444445,0.0011065856481481484,0.23684210526315788,0.00999265625,0.0015195891203703701
2014-03-30,AS14.16,2014-03-26-2014-03-29,5.4,0,1,6.025,-0.2625,0.4375,0.18142440276435562,0.014609887152220375,0.0024239756944444447,0.0002428125,0.0009125810185185187,0.2763157894736842,0.009846154513888889,0.001150859375
2014-03-31,AS14.16,2014-03-27-2014-03-30,6.0,1,0,5.975,-0.2125,0.625,0.17195151459583657,0.009796990741872133,0.0018910763888888888,5.5321180555555554e-05,0.0002718807870370371,0.3157894736842105,0.013954684606481482,0.0014432320601851854
2014-04-01,AS14.16,2014-03-28-2014-03-31,5.8,1,0,5.975,-0.275,0.6458333333333334,0.13186174966975717,0.005398226274108444,0.002044638310185185,5.5321180555555554e-05,0.0002718807870370371,0.23684210526315788,0.004282676504629628,0.0012773119212962964
2014-04-02,AS14.16,2014-03-29-2014-04-01,6.4,1,0,5.8,-0.1875,0.6083333333333333,0.1883543623833956,0.008159858218773654,0.0014568171296296295,5.5321180555555554e-05,0.00041174768518518524,0.25,0.004282676504629628,0.0012152372685185187
2014-04-03,AS14.16,2014-03-30-2014-04-02,6.25,1,0,5.9,-0.1125,0.7333333333333333,0.13284685017919778,0.031986270256478495,0.0013140943287037036,0.0,0.00014196469907407406,0.25,0.004282676504629628,0.0009157378472222223
2014-04-04,AS14.16,2014-03-31-2014-04-03,6.2,0,1,6.112500000000001,-0.3375,0.5666666666666667,0.1227537661254946,0.029892065972089786,0.0018602777777777775,0.0,0.0002616319444444445,0.19736842105263158,2.9340277777777783e-06,0.0005247424768518519
2014-04-05,AS14.16,2014-04-01-2014-04-04,7.0,0,1,6.1625,-0.325,0.6833333333333333,0.12508633999806398,0.043970894098143906,0.006567928240740741,5.8061342592592606e-05,0.0011351215277777776,0.17105263157894735,0.00641560474537037,0.0024521961805555547
2014-04-06,AS14.16,2014-04-02-2014-04-05,6.75,0,1,6.4625,-0.22499999999999998,0.7833333333333333,0.0685987758380861,0.04029268518642144,0.006697488425925926,5.8061342592592606e-05,0.001053420138888889,0.17105263157894735,0.006826556712962962,0.0024545457175925915
2014-04-07,AS14.16,2014-04-03-2014-04-06,7.0,1,0,6.55,-0.3416666666666667,0.7833333333333333,0.11094959753412864,0.019926122684997542,0.007853582175925926,5.8061342592592606e-05,0.0014097366898148146,0.11842105263157894,0.007245295138888888,0.003648362268518518
2014-04-08,AS14.16,2014-04-04-2014-04-07,6.4,1,0,6.7375,-0.26666666666666666,0.95,0.1294635442398538,0.025930717592989948,0.008197404513888888,0.0001890769675925926,0.0016372251157407407,0.13157894736842105,0.007390792824074073,0.004171984953703703
2014-04-09,AS14.16,2014-04-05-2014-04-08,7.2,1,0,6.7875,-0.09166666666666667,0.9166666666666666,0.10342009358467633,0.011659406828521564,0.003336192129629629,0.000131015625,0.0007637355324074074,0.14473684210526316,0.0009781221064814817,0.0022355381944444454
2014-04-10,AS14.16,2014-04-06-2014-04-09,6.6,1,0,6.8374999999999995,-0.21666666666666667,0.9166666666666666,0.14158695406205715,0.020308877314544383,0.0026690364583333327,0.00016299768518518519,0.0007055700231481481,0.14473684210526316,0.000567170138888889,0.0021437326388888895
2014-04-11,AS14.16,2014-04-07-2014-04-10,7.0,0,1,6.800000000000001,0.0,0.9166666666666666,0.12396473910748343,0.018815451390627357,0.0021651591435185185,0.0004167534722222222,0.0009905439814814816,0.19736842105263158,0.0009471440972222223,0.0013178414351851853
2014-04-12,AS14.16,2014-04-08-2014-04-11,7.0,0,1,6.800000000000001,0.3,0.9166666666666666,0.11225392547669369,0.01344761574088976,0.002203680555555556,0.0002857378472222222,0.0009607841435185186,0.1842105263157895,0.0007987123842592593,0.0009646585648148149
2014-04-13,AS14.16,2014-04-09-2014-04-12,6.4,0,1,6.95,0.4875,1.0,0.10227972527029533,0.013482789351708368,0.002203680555555556,0.0002857378472222222,0.0009607841435185186,0.11842105263157894,0.0007987123842592593,0.0009941116898148149
2014-04-14,AS14.16,2014-04-10-2014-04-13,7.0,1,0,6.75,0.6125,0.875,0.05360420678425649,0.004572774884463461,0.0021860677083333333,0.00025375578703703704,0.001094820601851852,0.14473684210526316,0.0007987123842592593,0.0009640335648148149
2014-04-15,AS14.16,2014-04-11-2014-04-14,6.6,1,0,6.85,0.7625,0.875,0.029792926845979166,0.0020054166667439308,0.0014650086805555556,0.0,0.00046794849537037036,0.14473684210526316,0.0,0.0010075462962962959
2014-04-16,AS14.16,2014-04-12-2014-04-15,7.25,1,0,6.75,0.6625,0.75,0.032399515993266,0.000978943866988023,0.0003996730324074073,0.0,0.00025230613425925925,0.1842105263157895,0.0,0.0010710474537037036
2014-04-17,AS14.16,2014-04-13-2014-04-16,7.0,1,0,6.8125,0.6625,0.75,0.066893677291197,0.0029638859988362705,0.0013189322916666662,0.0,0.0005142332175925926,0.21052631578947367,0.0,0.0018385503472222215
2014-04-18,AS14.16,2014-04-14-2014-04-17,6.8,0,1,6.9625,0.5125,0.875,0.09214123639516772,0.003928550350031366,0.0017567824074074072,0.00029632523148148145,0.0004211082175925926,0.21052631578947367,0.0,0.0021409490740740733
2014-04-19,AS14.16,2014-04-15-2014-04-18,7.2,0,1,6.9125000000000005,0.3125,0.875,0.08603911778363646,0.009503703703069027,0.003189881365740741,0.00029632523148148145,0.000947037037037037,0.21052631578947367,0.003235364583333332,0.002352965856481481
2014-04-20,AS14.16,2014-04-16-2014-04-19,7.0,0,1,7.0625,0.5625,1.0,0.11955361053725966,0.009491741897331346,0.0030360966435185183,0.00029632523148148145,0.0008452835648148148,0.21052631578947367,0.003235364583333332,0.0020002864583333326
2014-04-21,AS14.16,2014-04-17-2014-04-20,7.25,1,0,7.0,0.5833333333333333,1.0,0.08505944923932865,0.007450575807166323,0.0021168373842592597,0.00029632523148148145,0.0005833564814814815,0.14473684210526316,0.003235364583333332,0.001176591435185185
2014-04-22,AS14.16,2014-04-18-2014-04-21,6.6,1,0,7.0625,0.9833333333333334,1.0,0.050747584875400494,0.008299962380831995,0.0030628877314814815,0.0,0.0006388570601851851,0.10526315789473684,0.003416281828703702,0.0017619415509259261
2014-04-23,AS14.16,2014-04-19-2014-04-22,7.25,1,0,7.012499999999999,1.1833333333333333,0.95,0.06204980956580486,0.00476865740354966,0.0035372800925925923,0.0,0.00038781828703703705,0.06578947368421052,0.000772433449074074,0.0015386371527777779
