predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,finance,social,travel,gsm,amusement,system
2014-03-27,AS14.14,2014-03-24-2014-03-26,6.6,1,0,6.416666666666667,-0.48333333333333334,0.4166666666666667,0.10165407906984536,0.14076458333175124,0.06624213348765433,0.004830297067901233,0.012264367283950618,0.006881716820987652,0.14814814814814814,0.0037912461419753094,0.044134247685185174
2014-04-01,AS14.14,2014-03-29-2014-03-31,6.2,1,0,7.083333333333333,-0.5,1.0,0.0739166229975941,0.040254209099544434,0.013176940586419753,0.0005982291666666665,0.0031691396604938264,0.0,0.3333333333333333,4.417438271604938e-05,0.12686935956790127
2014-04-02,AS14.14,2014-03-30-2014-04-01,7.0,1,0,6.483333333333333,-0.4166666666666667,0.7166666666666667,0.036037521590914195,0.023881809414352903,0.0063935725308641965,0.0,0.00012517746913580247,0.0,0.25925925925925924,0.0,0.11572657021604942
2014-04-03,AS14.14,2014-03-31-2014-04-02,7.333333333333332,1,0,6.6499999999999995,-0.4166666666666667,0.7166666666666667,0.05401608186229153,0.016604050921253215,0.005006689814814815,0.0,0.0004019212962962963,0.0,0.2222222222222222,0.0,0.02018514660493827
2014-04-04,AS14.14,2014-04-01-2014-04-03,7.5,0,1,6.844444444444444,-0.5,0.7999999999999999,0.06162672125409605,0.013824907401461669,0.0024300964506172845,3.109182098765432e-05,0.0005816358024691359,0.0,0.0,0.0,0.013215412808641974
2014-04-05,AS14.14,2014-04-02-2014-04-04,7.4,0,1,7.277777777777778,-0.8333333333333334,1.0,0.04556468049576373,0.013349047061285863,0.0022031211419753093,3.109182098765432e-05,0.00045645833333333346,0.0,0.0,0.0,0.013126952160493824
2014-04-06,AS14.14,2014-04-03-2014-04-05,7.4,0,1,7.411111111111111,-1.0333333333333334,0.8666666666666667,0.029961658424653054,0.01607291280671403,0.004497646604938271,3.109182098765432e-05,0.0004855787037037038,0.0,0.0,0.0,0.013259347993827164
2014-04-07,AS14.14,2014-04-04-2014-04-06,7.0,1,0,7.433333333333334,-1.2,0.8666666666666667,0.016504372464616713,0.011793314044674236,0.02913868055555556,0.0,0.0007289930555555555,0.0,0.037037037037037035,0.0,0.013317256944444448
2014-04-08,AS14.14,2014-04-05-2014-04-07,6.8,1,0,7.266666666666667,-0.9333333333333335,0.8666666666666667,0.018173676701387215,0.012730131175966908,0.02941005015432099,0.0,0.0012457523148148148,0.0,0.07407407407407407,0.0,0.013259544753086425
2014-04-09,AS14.14,2014-04-06-2014-04-08,8.0,1,0,7.066666666666666,-0.4666666666666666,0.9333333333333332,0.02581156000913593,0.008744629628864332,0.02675564429012346,0.0,0.0009398881172839506,0.0,0.1111111111111111,0.0,0.16271830632716047
2014-04-10,AS14.14,2014-04-07-2014-04-09,6.666666666666668,1,0,7.266666666666667,-0.022222222222222237,0.9333333333333332,0.05516875957446113,0.008107881944304632,0.001314371141975309,0.0,0.0005671219135802468,0.0,0.07407407407407407,0.0,0.15982861496913578
2014-04-11,AS14.14,2014-04-08-2014-04-10,7.75,0,1,7.155555555555556,-0.06666666666666667,0.9333333333333332,0.06956324196345204,0.009250308639473384,0.0009758487654320992,0.0,0.00016339891975308642,0.0,0.037037037037037035,0.0,0.16236402391975305
2014-04-12,AS14.14,2014-04-09-2014-04-11,7.5,0,1,7.472222222222222,0.3333333333333333,1.0,0.06507853141256502,0.0096364390436146,0.000789564043209877,0.0,0.0004196566358024691,0.0,0.07407407407407407,0.0,0.029467515432098763
