indexje,predict_day,user,window,mood,arousal,valence,activity,true_mood,indexje
4,2014-05-14,AS14.33,2014-05-11-2014-05-13,5.666666666666667,-0.08333333333333333,0.3,0.058381573151928885,6.833333333333332,4.0
5,2014-05-15,AS14.33,2014-05-12-2014-05-14,5.944444444444444,-0.19444444444444442,0.3,0.05598893323500934,6.0,5.0
6,2014-05-16,AS14.33,2014-05-13-2014-05-15,5.944444444444444,0.05555555555555556,0.3,0.08882691394159885,7.0,6.0
7,2014-05-17,AS14.33,2014-05-14-2014-05-16,6.611111111111111,0.022222222222222237,0.6333333333333333,0.05943273619379775,6.0,7.0
8,2014-05-18,AS14.33,2014-05-15-2014-05-17,6.333333333333333,0.21666666666666667,0.611111111111111,0.06366208951257091,6.0,8.0
9,2014-05-19,AS14.33,2014-05-16-2014-05-18,6.333333333333333,0.01666666666666668,0.5111111111111111,0.02872908730735331,6.2,9.0
10,2014-05-20,AS14.33,2014-05-17-2014-05-19,6.066666666666666,-0.18333333333333335,0.24444444444444446,0.014517571401806548,6.25,10.0
11,2014-05-21,AS14.33,2014-05-18-2014-05-20,6.1499999999999995,-0.43333333333333335,0.3,0.015087098404630331,6.0,11.0
12,2014-05-22,AS14.33,2014-05-19-2014-05-21,6.1499999999999995,-0.45555555555555555,0.16666666666666666,0.01490328575343057,5.75,12.0
13,2014-05-23,AS14.33,2014-05-20-2014-05-22,6.0,-0.22222222222222218,0.18333333333333335,0.015700354321299678,5.833333333333332,13.0
14,2014-05-24,AS14.33,2014-05-21-2014-05-23,5.861111111111111,-0.3333333333333333,0.016666666666666663,0.016435177175262942,6.4,14.0
15,2014-05-25,AS14.33,2014-05-22-2014-05-24,5.9944444444444445,-0.36111111111111116,0.16666666666666666,0.015470240439197066,6.25,15.0
16,2014-05-26,AS14.33,2014-05-23-2014-05-25,6.161111111111111,-0.7777777777777778,0.19444444444444442,0.06544763608388869,5.4,16.0
