indexje,predict_day,user,window,mood,arousal,valence,activity,true_mood,indexje
3,2014-03-27,AS14.23,2014-03-25-2014-03-26,6.6,-0.325,0.925,0.3400014531068979,7.0,3.0
4,2014-03-28,AS14.23,2014-03-26-2014-03-27,7.0,0.25,1.25,0.3806336446356948,7.0,4.0
5,2014-03-29,AS14.23,2014-03-27-2014-03-28,7.0,0.675,1.225,0.3808152611277611,7.25,5.0
6,2014-03-30,AS14.23,2014-03-28-2014-03-29,7.125,0.425,1.35,0.401293982800589,7.0,6.0
7,2014-03-31,AS14.23,2014-03-29-2014-03-30,7.125,0.125,1.35,0.4076851146466841,7.5,7.0
8,2014-04-01,AS14.23,2014-03-30-2014-03-31,7.25,-0.125,1.35,0.40060450439825657,7.5,8.0
9,2014-04-02,AS14.23,2014-03-31-2014-04-01,7.5,-0.125,1.75,0.4471560779948669,7.0,9.0
10,2014-04-03,AS14.23,2014-04-01-2014-04-02,7.25,0.25,1.5,0.4903227845015192,7.0,10.0
11,2014-04-04,AS14.23,2014-04-02-2014-04-03,7.0,0.5,1.0,0.41495438505166626,7.0,11.0
12,2014-04-05,AS14.23,2014-04-03-2014-04-04,7.0,0.75,1.0,0.4522017030765778,6.5,12.0
17,2014-04-10,AS14.23,2014-04-08-2014-04-09,6.9,-0.1,0.8999999999999999,0.30592608591760184,7.0,17.0
18,2014-04-11,AS14.23,2014-04-09-2014-04-10,7.1,-0.2,1.0,0.3329302523247826,7.0,18.0
19,2014-04-12,AS14.23,2014-04-10-2014-04-11,7.0,0.2,0.9,0.3147567886615651,7.75,19.0
20,2014-04-13,AS14.23,2014-04-11-2014-04-12,7.375,0.07500000000000001,1.0,0.33686732128407404,7.2,20.0
