predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,social,travel,gsm,amusement,system
2014-04-10,AS14.07,2014-04-07-2014-04-09,6.2,1,0,6.2,-0.6666666666666666,0.4666666666666666,0.07603846104396483,0.15553248841913395,0.05818089120370371,0.01995969135802469,0.0,0.1176470588235294,0.029608009259259258,0.014098838734567902
2014-04-11,AS14.07,2014-04-08-2014-04-10,3.5,0,1,6.466666666666666,-0.3333333333333333,0.39999999999999997,0.08218318480872984,0.11215408178851194,0.041442052469135814,0.011041581790123454,8.556712962962965e-05,0.29411764705882354,0.014873236882716051,0.009597970679012345
2014-04-12,AS14.07,2014-04-09-2014-04-11,6.4,0,1,5.366666666666667,-0.033333333333333326,-0.13333333333333333,0.07947714109798508,0.08325203704153317,0.01916977237654321,0.009331165123456787,0.0010709104938271606,0.29411764705882354,0.011784336419753086,0.007847087191358022
2014-04-13,AS14.07,2014-04-10-2014-04-12,6.5,0,1,5.366666666666667,0.3,-0.08333333333333333,0.10692500829532915,0.08737254244677821,0.03090147376543211,0.012946365740740741,0.0029166512345679013,0.45098039215686275,0.028279787808641974,0.010729128086419746
2014-04-14,AS14.07,2014-04-11-2014-04-13,6.2,1,0,5.466666666666666,0.08333333333333333,0.25,0.07937871199903286,0.09709368442679633,0.03735514660493828,0.011810424382716053,0.0028310841049382714,0.35294117647058826,0.027074297839506174,0.010490621141975305
2014-04-15,AS14.07,2014-04-12-2014-04-14,6.0,1,0,6.366666666666667,-0.15,0.7166666666666667,0.06760233478147916,0.1070773572631089,0.040046280864197537,0.012678063271604941,0.0018457407407407407,0.39215686274509803,0.03845139274691358,0.012237932098765428
2014-04-16,AS14.07,2014-04-13-2014-04-15,4.75,1,0,6.233333333333333,-0.39999999999999997,0.6333333333333333,0.02309884680623143,0.08364828704499906,0.040543009259259244,0.01225161651234568,0.0,0.1568627450980392,0.02214503086419753,0.007910497685185187
2014-04-17,AS14.07,2014-04-14-2014-04-16,3.8,1,0,5.6499999999999995,-0.7333333333333334,0.3,0.052977705445116825,0.08700981481575672,0.051847060185185194,0.010785181327160496,0.00012829475308641974,0.25490196078431376,0.016148333333333334,0.012629911265432094
2014-04-18,AS14.07,2014-04-15-2014-04-17,5.2,0,1,4.8500000000000005,-1.0666666666666667,0.033333333333333326,0.08122340815181155,0.09853159336304222,0.05871864197530865,0.013284459876543211,0.00012829475308641974,0.21568627450980393,0.011120038580246914,0.01409611882716049
2014-04-19,AS14.07,2014-04-16-2014-04-18,7.0,0,1,4.583333333333333,-1.1500000000000001,-0.26666666666666666,0.09043900053121606,0.09019798997007768,0.05125513117283952,0.010119915123456792,0.00012829475308641974,0.27450980392156865,0.010242631172839503,0.015820567129629624
2014-04-20,AS14.07,2014-04-17-2014-04-19,3.0,0,1,5.333333333333333,-0.65,-0.01666666666666668,0.05616215061696747,0.06337559799629229,0.03300882330246913,0.0076863233024691375,0.0,0.07843137254901962,0.0107770524691358,0.009134922839506175
2014-04-21,AS14.07,2014-04-18-2014-04-20,6.6,1,0,5.066666666666666,-0.9166666666666666,-0.21666666666666667,0.04573371370547973,0.059145675161738444,0.025934266975308647,0.0072502237654321,0.0,0.05882352941176471,0.004482615740740741,0.004727075617283951
2014-04-22,AS14.07,2014-04-19-2014-04-21,6.0,1,0,5.533333333333334,-0.7166666666666667,0.18333333333333335,0.050572164831156556,0.06937761959930261,0.033488969907407413,0.014916975308641977,0.0028356172839506173,0.0,0.010153742283950617,0.005329212962962965
2014-04-23,AS14.07,2014-04-20-2014-04-22,6.0,1,0,5.2,-0.8666666666666667,0.0666666666666667,0.07986040195581731,0.08348933641649325,0.03983801697530866,0.013889683641975308,0.0028356172839506173,0.039215686274509796,0.015987932098765433,0.008548568672839508
2014-04-24,AS14.07,2014-04-21-2014-04-23,5.6,1,0,6.2,-0.4222222222222222,0.4000000000000001,0.07604972894394108,0.10304804011719466,0.06184234567901239,0.016008167438271607,0.0031493209876543213,0.1372549019607843,0.01783858410493827,0.013780165895061735
2014-04-25,AS14.07,2014-04-22-2014-04-24,3.333333333333333,0,1,5.866666666666667,-0.48888888888888893,0.26666666666666666,0.10811660987445836,0.07972618055380422,0.05429841435185188,0.006683854166666666,0.0003137037037037038,0.2156862745098039,0.008273626543209877,0.011407523148148151
2014-04-26,AS14.07,2014-04-23-2014-04-25,5.4,0,1,4.977777777777778,-0.3111111111111111,-0.08888888888888886,0.10313377143256819,0.07870373071067863,0.05172744212962965,0.009574413580246912,0.0003137037037037038,0.29411764705882354,0.007246064814814814,0.01054823688271605
