,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,2014-03-22,2014-03-23,2014-03-24,2014-03-25,2014-03-26,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25
1,-0.16152801513671911,0.03842430114746076,0.038501548767089666,0.23885250091552734,-0.96130676269531268,-0.0072498321533203125,0.038358497619628729,0.63896121978759801,-0.16210212707519567,-0.16169967651367223,0.038437652587890447,-0.16195621490478551,0.23951148986816406,0.039185333251952947,0.23816394805908203,0.23842048645019531,-0.16184082031250036,0.039296913146972479,-0.011527061462402344,0.43857688903808523,-0.09518655141194543,0.038891601562499822,-0.56182651519775373,-0.011722564697265625,-0.16111125946044957,0.63814773559570348,-0.16196765899658239,-0.36162528991699183,0.038341331481933416,-0.011780738830566406,0.03818016052246076,0.23800182342529297,-0.16180744171142614,0.43820304870605398,-0.26204490661621094
2,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.038409996032714666,0.038052368164062322,0.23832130432128906,0.23816585540771484,0.03817253112792951,0.43817825317382741,0.23810291290283203,0.038142967224120916,0.038252639770507635,,,,,,,,,,,,,,,,,,,,,,,,,,
