,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28
1,-0.43020362854003924,0.77038955688476562,-1.4816112518310547,0.37483177185058558,-0.031278419494628729,0.76940536499023438,0.56837825775146467,-0.23137855529785156,-0.23080921173095703,0.16963424682617223,0.56964664459228498,-0.031666564941406072,-0.4307624816894533,-0.43011875152587908,-1.0295341491699217,0.57564430236816388,-1.4313442230224611,-0.47489070892333984,0.57059745788574201,0.76858806610107422,0.018497467041015625,-0.23114395141601562,0.76973628997802734,-0.23164272308349609,0.76960277557373047,0.01854705810546875,0.26970005035400391
2,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05,,,,,,,,,,,,,,,,,,,,
3,-0.23110294342041016,-1.0301082611083983,-0.8267847061157223,-0.4288398742675783,0.16964855194091832,-0.43093700408935565,-0.22995948791503906,,,,,,,,,,,,,,,,,,,,
