,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05
1,-0.87572002410888672,0.39097805023193377,0.60357093811035156,1.0823192596435547,-0.38809547424316371,0.39542865753173828,-0.6650789260864256,0.64945507049560547,-0.71828308105468786,-0.64174060821533185,-0.063207817077636896,-0.1144502639770506,0.86193733215332013,0.25974311828613317,-0.18523883819580078
2,2014-04-24,2014-04-25,2014-04-26,2014-04-27,,,,,,,,,,,
3,-1.2969133377075197,-0.32840003967285192,0.98955440521240234,0.46741085052490217,,,,,,,,,,,
