,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2014-05-12,2014-05-13,2014-05-14,2014-05-15,2014-05-16,2014-05-17,2014-05-18,2014-05-23,2014-05-24,2014-05-25,2014-05-26,2014-05-27,2014-05-28,2014-05-29,2014-05-30
1,-0.28174781799316406,-1.282282829284668,0.55512650807698449,-0.28249645233154297,0.71773815155029297,-0.28273963928222656,-0.28166389465332031,-0.44746462504069129,0.11857166290283239,-0.032314300537109375,-0.88237628936767543,-0.08107261657714826,1.917791557312011,0.71709442138671875,0.51715641021728498
2,2014-05-19,2014-05-20,2014-05-21,2014-05-22,,,,,,,,,,,
3,-0.082001495361327947,-0.031797409057617188,-0.28231143951416016,-0.53121852874755859,,,,,,,,,,,
