,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,2014-03-18,2014-03-19,2014-03-20,2014-03-21,2014-03-22,2014-03-23,2014-03-24,2014-03-25,2014-03-26,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05
1,0.98013210296630859,0.50051689147949219,0.26786155700683612,0.35628747940063477,-2.9509763717651367,-0.23788270950317347,-0.36707210540771484,0.72477515538533499,-0.7501521110534668,-0.43809909820556658,-0.081728267669677557,-0.30589303970336879,-0.53586177825927717,0.1655509948730467,0.077497482299804688,-0.043733596801757812,0.15329189300537127,-0.068603038787841797,0.52191591262817383,0.17108650207519549,-0.44151439666748082,0.54814958572387695,0.21335239410400408,0.23809785842895526,0.085506629943847834,0.10521955490112322,0.24614925384521502,0.13500804901123065,0.11808795928955096,0.78915863037109357,0.38322963714599645,-0.068908214569091797,-0.2323982238769533,0.0001506805419921875,-0.26360769271850604,-0.043520927429199219,0.07817840576171875,0.46663141250610352,-0.58568636576334754
2,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.20027132034301776,-0.20557975769042969,-0.20016336441040039,0.53652572631835938,0.23885841369628924,0.06673431396484375,0.030899524688720703,0.49420785903930664,0.95289936065673864,0.1337580680847168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
